Initiative Name,Initiative Type,Country,Lead Organization,Budget (USD million),Start Year,Targeted Completion Year,Expected Impact,Actual Impact,Number of Jobs Created,Funding Source,Public Awareness Level (%),Technology Used,Geographical Coverage (sq km),Annual Progress Report,Community Engagement Level (%),Policy Alignment,Emission Reduction per Year (tonnes),Renewable Energy Capacity Added (MW),Green Infrastructure Developed (km)
Climate Education Program in Japan #14,Climate Education Program,Japan,Eco Innovation Lab,155,2011,2025,0.18,0.26,17613,Private Sector,76,Hydropower,84265,yes,53,International,611349,16897,255
Emission Control Program in Japan #15,Emission Control Program,Japan,Eco Innovation Lab,1952,2015,2024,0.27,0.37,89334,International Aid,61,Wind,53599,no,99,International,1459120,26731,297
Climate Education Program in USA #16,Climate Education Program,USA,Earth Guardians,1560,2015,2029,0.33,0.83,50830,Private Sector,65,Wind,483932,yes,62,International,1343520,10626,836
Emission Control Program in USA #17,Emission Control Program,USA,Earth Guardians,440,2023,2029,0.41,0.56,35000,Private Sector,97,Bioenergy,7948,no,86,National,1656839,3440,35
Clean Transportation Initiative in India #18,Clean Transportation Initiative,India,Eco Warriors,1791,2011,2016,0.94,0.98,47539,Government,63,None,369596,yes,100,International,1866736,16426,415
Renewable Energy Project in USA #19,Renewable Energy Project,USA,Green Growth Initiative,1291,2015,2025,0.41,0.87,7982,Private Sector,98,None,142000,yes,53,International,1885473,30104,761
Emission Control Program in Japan #20,Emission Control Program,Japan,Sustainable Future Org,1264,2010,2015,0.77,0.54,73232,Government,52,Hydropower,253065,no,67,National,1908635,40978,773
Water Conservation Project in Japan #21,Water Conservation Project,Japan,Earth Guardians,971,2021,2028,0.45,0.53,64760,Private Sector,75,Geothermal,93964,yes,98,International,109470,10780,74
Reforestation Initiative in USA #22,Reforestation Initiative,USA,Green Growth Initiative,1208,2023,2036,0.09,0.63,59660,International Aid,99,Solar,234106,yes,65,International,1537167,1191,768
Waste Management Plan in China #23,Waste Management Plan,China,Eco Warriors,1480,2011,2022,0.59,0.94,43027,International Aid,76,Geothermal,205120,no,87,International,1530572,7135,957
Sustainable Agriculture Program in Canada #24,Sustainable Agriculture Program,Canada,Global Renewable Group,892,2012,2025,0.07,0.98,4369,International Aid,80,Geothermal,356946,yes,96,International,520819,32668,698
Clean Transportation Initiative in Canada #25,Clean Transportation Initiative,Canada,Earth Guardians,1811,2016,2021,0.31,0.57,47654,Private Sector,70,None,124720,yes,80,International,689519,5878,641
Emission Control Program in USA #26,Emission Control Program,USA,Sustainable Future Org,487,2016,2027,0.9,0.07,54618,International Aid,68,Bioenergy,496900,no,97,International,122665,23021,2
Energy Efficiency Campaign in India #27,Energy Efficiency Campaign,India,Eco Warriors,212,2013,2021,0.2,0.76,41881,International Aid,67,None,132567,no,69,National,1085030,3616,641
Water Conservation Project in China #28,Water Conservation Project,China,Sustainable Future Org,1517,2011,2020,0.61,0.05,47291,Government,68,Hydropower,155059,yes,56,National,368517,9654,625
Reforestation Initiative in USA #29,Reforestation Initiative,USA,Eco Innovation Lab,1984,2011,2018,0.32,0.67,60186,Private Sector,52,Bioenergy,296005,no,66,International,1110778,35395,376
Water Conservation Project in UK #30,Water Conservation Project,UK,Clean Energy Foundation,1500,2020,2026,0.17,0.35,57785,Government,84,Solar,191211,yes,55,International,1187059,35781,148
Energy Efficiency Campaign in Brazil #31,Energy Efficiency Campaign,Brazil,Clean Energy Foundation,625,2010,2019,0.85,0.15,32789,Private Sector,69,Geothermal,425128,no,99,National,1721505,19044,28
Waste Management Plan in USA #32,Waste Management Plan,USA,Global Renewable Group,990,2022,2036,0.23,0.51,16579,International Aid,91,Geothermal,94020,yes,50,International,1767305,16526,638
Sustainable Agriculture Program in USA #33,Sustainable Agriculture Program,USA,Climate Action Network,1093,2019,2033,0.25,0.78,74242,Private Sector,64,Bioenergy,132219,yes,87,National,1392148,43525,962
Climate Education Program in Brazil #34,Climate Education Program,Brazil,Global Renewable Group,1827,2025,2040,0.27,0.96,86544,Private Sector,57,None,50019,no,85,International,176467,23636,822
Emission Control Program in Brazil #35,Emission Control Program,Brazil,Green Growth Initiative,855,2011,2016,0.18,0.96,72426,Government,93,Hydropower,14464,yes,74,International,345323,37454,312
Water Conservation Project in India #36,Water Conservation Project,India,Eco Warriors,1790,2011,2017,0.73,0.52,85860,International Aid,98,None,198833,yes,72,National,1118011,16858,428
Waste Management Plan in Australia #37,Waste Management Plan,Australia,Climate Action Network,1028,2025,2030,0.1,0.2,89661,International Aid,94,Geothermal,471083,no,61,National,1374250,18469,199
Renewable Energy Project in Canada #38,Renewable Energy Project,Canada,Climate Action Network,83,2025,2033,0.13,0.59,26920,Government,72,None,379829,no,78,International,957491,42529,174
Green Infrastructure Development in Brazil #39,Green Infrastructure Development,Brazil,Green Growth Initiative,1211,2011,2026,0.61,0.67,65695,Government,67,Wind,370220,no,82,International,542654,42885,762
Green Infrastructure Development in UK #40,Green Infrastructure Development,UK,Eco Warriors,730,2011,2025,0.58,0.5,2533,Government,83,Hydropower,412194,yes,72,International,1860823,5809,7
Energy Efficiency Campaign in USA #41,Energy Efficiency Campaign,USA,Zero Emissions Initiative,1673,2021,2026,0.42,0.86,53236,Private Sector,100,None,341827,no,50,International,1555697,1278,407
Emission Control Program in USA #42,Emission Control Program,USA,Green Earth Alliance,1815,2019,2024,0.7,0.87,87623,Government,53,Hydropower,35654,yes,87,International,206832,18075,600
Climate Education Program in Germany #43,Climate Education Program,Germany,Sustainable Future Org,800,2016,2024,0.06,0.43,51042,Government,52,Geothermal,298089,no,72,National,159751,10192,637
Renewable Energy Project in Canada #44,Renewable Energy Project,Canada,Global Renewable Group,1172,2016,2026,0.39,0.41,14796,International Aid,76,Bioenergy,480005,no,53,International,1297620,40389,360
Waste Management Plan in UK #45,Waste Management Plan,UK,Global Renewable Group,903,2024,2038,0.15,0.9,52786,International Aid,75,Wind,264523,yes,55,National,1427771,29697,553
Clean Transportation Initiative in Australia #46,Clean Transportation Initiative,Australia,Global Renewable Group,1419,2017,2025,0.62,0.09,52443,International Aid,84,Hydropower,62993,no,95,National,464273,30793,696
Waste Management Plan in France #47,Waste Management Plan,France,Clean Energy Foundation,1889,2025,2040,0.91,0.49,26432,Government,65,Geothermal,257462,no,54,International,76639,11499,137
Sustainable Agriculture Program in UK #48,Sustainable Agriculture Program,UK,Sustainable Future Org,1976,2013,2023,0.98,0.06,90813,Private Sector,56,None,197498,no,93,International,510563,45828,185
Reforestation Initiative in Germany #49,Reforestation Initiative,Germany,Earth Guardians,1382,2018,2025,0.17,0.66,95007,Private Sector,66,Geothermal,1034,yes,90,National,1913852,15720,413
Energy Efficiency Campaign in Australia #50,Energy Efficiency Campaign,Australia,Clean Energy Foundation,937,2015,2027,0.21,0.69,33847,International Aid,93,Wind,322201,yes,65,National,823950,28488,529
Sustainable Agriculture Program in China #51,Sustainable Agriculture Program,China,Eco Innovation Lab,1570,2015,2029,0.6,0.23,54439,Private Sector,69,Solar,104961,no,64,National,1435860,12349,80
Emission Control Program in China #52,Emission Control Program,China,Global Renewable Group,1960,2016,2028,0.77,0.47,91471,Private Sector,68,Wind,242135,yes,66,National,836657,28695,989
Energy Efficiency Campaign in UK #53,Energy Efficiency Campaign,UK,Zero Emissions Initiative,770,2016,2027,0.49,0.32,16784,Private Sector,77,Hydropower,324089,no,67,International,1022070,49376,496
Sustainable Agriculture Program in Australia #54,Sustainable Agriculture Program,Australia,Eco Innovation Lab,845,2025,2034,0.72,0.38,86255,International Aid,66,Bioenergy,290797,yes,62,National,1101788,43796,2
Green Infrastructure Development in Brazil #55,Green Infrastructure Development,Brazil,Sustainable Future Org,711,2013,2023,0.73,0.99,67342,Private Sector,89,Geothermal,253614,no,54,National,988146,23319,272
Water Conservation Project in USA #56,Water Conservation Project,USA,Climate Action Network,1195,2016,2021,0.68,0.87,48875,Government,91,None,122619,yes,76,National,541560,31878,316
Energy Efficiency Campaign in UK #57,Energy Efficiency Campaign,UK,Climate Action Network,1251,2017,2029,0.57,0.07,97807,International Aid,54,Geothermal,390636,no,61,National,811858,42513,577
Climate Education Program in Canada #58,Climate Education Program,Canada,Global Renewable Group,937,2012,2017,0.77,0.59,76290,Government,52,Geothermal,57397,yes,90,International,1908472,33622,826
Reforestation Initiative in Canada #59,Reforestation Initiative,Canada,Green Earth Alliance,74,2023,2033,0.96,0.68,9510,Government,97,Wind,379609,no,81,International,254166,8845,555
Renewable Energy Project in Brazil #60,Renewable Energy Project,Brazil,Eco Innovation Lab,1532,2023,2036,0.6,0.83,97854,Government,79,None,207204,yes,68,International,1328562,35132,273
Climate Education Program in Germany #61,Climate Education Program,Germany,Green Earth Alliance,1275,2020,2029,0.72,0.69,8886,Private Sector,62,Solar,175551,no,95,International,305624,39427,942
Clean Transportation Initiative in USA #62,Clean Transportation Initiative,USA,Zero Emissions Initiative,830,2025,2034,0.36,0.28,16564,Private Sector,80,None,168526,no,81,National,315851,25569,907
Climate Education Program in France #63,Climate Education Program,France,Zero Emissions Initiative,153,2016,2025,0.43,0.56,88221,International Aid,83,Wind,44689,no,98,National,1606244,3935,755
Climate Education Program in France #64,Climate Education Program,France,Eco Warriors,735,2016,2030,0.5,0.15,60696,International Aid,74,Hydropower,343967,yes,77,National,347439,15691,720
Water Conservation Project in USA #65,Water Conservation Project,USA,Zero Emissions Initiative,957,2015,2023,0.7,0.99,21349,International Aid,60,Hydropower,397519,yes,56,International,616278,17948,194
Clean Transportation Initiative in Japan #66,Clean Transportation Initiative,Japan,Clean Energy Foundation,644,2023,2030,0.34,0.84,14481,Government,88,Geothermal,227308,no,54,International,1908174,25397,814
Energy Efficiency Campaign in UK #67,Energy Efficiency Campaign,UK,Sustainable Future Org,237,2016,2023,0.95,0.56,54211,Government,61,None,413728,yes,100,International,924544,40000,522
Energy Efficiency Campaign in Germany #68,Energy Efficiency Campaign,Germany,Green Growth Initiative,1041,2014,2026,0.12,0.87,68724,International Aid,62,Solar,340462,yes,80,International,988522,28754,340
Sustainable Agriculture Program in France #69,Sustainable Agriculture Program,France,Climate Action Network,1340,2013,2018,0.58,0.47,16088,Private Sector,67,Wind,94455,yes,60,National,1236330,414,397
Waste Management Plan in Australia #70,Waste Management Plan,Australia,Zero Emissions Initiative,1118,2010,2016,0.92,0.5,59159,Private Sector,69,Wind,54292,no,87,International,1906116,7467,807
Reforestation Initiative in China #71,Reforestation Initiative,China,Sustainable Future Org,515,2015,2023,0.25,0.31,81414,Private Sector,66,None,485808,no,59,International,693247,7300,398
Renewable Energy Project in Germany #72,Renewable Energy Project,Germany,Zero Emissions Initiative,1898,2018,2030,0.49,0.77,14566,Government,51,Geothermal,228782,yes,85,National,736466,26290,192
Waste Management Plan in Australia #73,Waste Management Plan,Australia,Global Renewable Group,216,2012,2020,0.77,0.4,99780,Government,94,Wind,338641,yes,69,National,1048294,34303,328
Emission Control Program in India #74,Emission Control Program,India,Clean Energy Foundation,1421,2014,2025,0.4,0.71,6643,International Aid,82,Hydropower,350490,yes,83,International,820139,35954,519
Reforestation Initiative in USA #75,Reforestation Initiative,USA,Green Growth Initiative,1986,2024,2037,0.63,0.79,74959,Private Sector,83,Wind,108925,no,66,International,1226968,47996,618
Energy Efficiency Campaign in China #76,Energy Efficiency Campaign,China,Green Growth Initiative,763,2023,2032,0.68,0.22,32492,Government,62,Geothermal,462538,yes,60,International,436485,18893,395
Renewable Energy Project in Brazil #77,Renewable Energy Project,Brazil,Eco Innovation Lab,157,2025,2031,0.79,1,35252,Private Sector,79,Wind,308531,no,90,International,325798,41427,378
Reforestation Initiative in Canada #78,Reforestation Initiative,Canada,Zero Emissions Initiative,461,2017,2029,0.13,0.4,47616,International Aid,96,Wind,166420,yes,92,International,1597002,7088,187
Waste Management Plan in Germany #79,Waste Management Plan,Germany,Eco Innovation Lab,601,2018,2028,0.42,0.46,96718,Private Sector,68,Bioenergy,89537,yes,90,International,443800,33603,602
Waste Management Plan in Canada #80,Waste Management Plan,Canada,Green Growth Initiative,1802,2017,2026,0.06,0.62,95415,International Aid,55,Bioenergy,88285,no,73,National,1815648,34446,748
Green Infrastructure Development in UK #81,Green Infrastructure Development,UK,Green Growth Initiative,458,2022,2032,0.9,0.12,43672,Government,65,Hydropower,21255,no,79,International,1020957,17712,484
Waste Management Plan in UK #82,Waste Management Plan,UK,Clean Energy Foundation,1806,2024,2033,0.47,0.15,65570,Government,97,None,138005,no,83,National,173916,28443,951
Sustainable Agriculture Program in Japan #83,Sustainable Agriculture Program,Japan,Climate Action Network,1239,2021,2034,0.97,0.97,33888,International Aid,61,Hydropower,278645,yes,93,National,400668,18526,859
Water Conservation Project in Australia #84,Water Conservation Project,Australia,Eco Innovation Lab,789,2013,2020,0.77,0.35,15744,International Aid,74,Geothermal,85121,no,76,International,1701696,39543,156
Sustainable Agriculture Program in USA #85,Sustainable Agriculture Program,USA,Climate Action Network,312,2023,2036,0.92,0.99,97540,Private Sector,63,Hydropower,92124,no,54,National,958845,31895,842
Climate Education Program in USA #86,Climate Education Program,USA,Green Earth Alliance,887,2016,2026,0.54,0.8,59786,Private Sector,75,Hydropower,381484,no,91,National,1852010,29786,915
Renewable Energy Project in Canada #87,Renewable Energy Project,Canada,Zero Emissions Initiative,937,2016,2031,0.66,0.79,21461,International Aid,94,Hydropower,418411,no,71,International,888261,43440,624
Renewable Energy Project in Germany #88,Renewable Energy Project,Germany,Zero Emissions Initiative,668,2020,2025,0.26,0.57,26935,International Aid,54,None,181210,yes,74,International,368680,14031,936
Water Conservation Project in UK #89,Water Conservation Project,UK,Eco Innovation Lab,438,2011,2023,0.82,0.57,57395,Government,77,Wind,480757,no,88,International,889371,2985,981
Waste Management Plan in Canada #90,Waste Management Plan,Canada,Green Growth Initiative,627,2023,2031,0.79,0.37,20625,Private Sector,63,Solar,361242,no,83,National,1913611,13649,678
Clean Transportation Initiative in France #91,Clean Transportation Initiative,France,Eco Innovation Lab,1009,2010,2018,0.17,0.05,57739,Private Sector,65,Geothermal,306955,no,80,National,247254,35339,950
Waste Management Plan in India #92,Waste Management Plan,India,Eco Innovation Lab,1095,2014,2026,0.91,0.57,44396,Government,77,Hydropower,78400,no,83,International,1062662,44325,419
Climate Education Program in Japan #93,Climate Education Program,Japan,Earth Guardians,1941,2014,2027,0.12,0.86,52407,Government,53,Wind,4868,no,100,International,310219,27473,745
Water Conservation Project in China #94,Water Conservation Project,China,Eco Innovation Lab,707,2012,2022,0.16,0.96,48393,Private Sector,51,Hydropower,387947,no,81,National,1210538,49591,788
Reforestation Initiative in Australia #95,Reforestation Initiative,Australia,Climate Action Network,1096,2018,2029,0.2,0.77,46052,International Aid,70,Wind,224173,yes,95,International,579699,30987,838
Renewable Energy Project in Australia #96,Renewable Energy Project,Australia,Green Earth Alliance,1681,2024,2035,0.59,0.14,11078,Government,91,Hydropower,240780,yes,50,National,1337962,21320,806
Clean Transportation Initiative in China #97,Clean Transportation Initiative,China,Eco Warriors,186,2015,2021,0.73,0.4,18046,Private Sector,89,Geothermal,366062,no,85,National,1429061,40529,887
Green Infrastructure Development in Germany #98,Green Infrastructure Development,Germany,Global Renewable Group,577,2010,2017,0.71,0.66,36217,Government,55,Wind,41410,yes,97,International,1812048,13456,746
Climate Education Program in India #99,Climate Education Program,India,Eco Warriors,1976,2018,2026,0.16,0.14,21766,Government,99,Bioenergy,32402,yes,76,National,245423,14764,599
Waste Management Plan in USA #100,Waste Management Plan,USA,Eco Warriors,1674,2014,2025,0.21,0.25,85709,Private Sector,58,Hydropower,247258,no,68,National,846849,20757,61
Clean Transportation Initiative in China #101,Clean Transportation Initiative,China,Eco Innovation Lab,1372,2020,2034,0.83,0.89,60710,Private Sector,97,None,223160,yes,59,International,546207,1988,620
Energy Efficiency Campaign in Japan #102,Energy Efficiency Campaign,Japan,Earth Guardians,1658,2015,2022,0.82,0.45,48824,International Aid,58,Geothermal,134533,yes,93,National,1749419,37954,771
Waste Management Plan in Japan #103,Waste Management Plan,Japan,Earth Guardians,1613,2014,2023,0.86,0.56,9122,Private Sector,62,Hydropower,251449,no,94,International,654521,33981,266
Sustainable Agriculture Program in Brazil #104,Sustainable Agriculture Program,Brazil,Eco Warriors,427,2021,2027,0.07,0.65,8194,Government,66,Bioenergy,430509,yes,100,National,1072594,46314,639
Waste Management Plan in Canada #105,Waste Management Plan,Canada,Clean Energy Foundation,969,2016,2031,0.28,0.55,86244,Government,84,None,72778,yes,96,International,994800,15258,798
Green Infrastructure Development in Germany #106,Green Infrastructure Development,Germany,Sustainable Future Org,273,2014,2028,0.79,0.76,11869,International Aid,75,Hydropower,350240,no,92,International,1014838,4012,719
Climate Education Program in Australia #107,Climate Education Program,Australia,Earth Guardians,398,2025,2033,0.79,0.26,17007,Private Sector,73,Solar,1676,yes,56,National,1490584,48425,745
Green Infrastructure Development in Japan #108,Green Infrastructure Development,Japan,Clean Energy Foundation,432,2012,2020,0.06,0.07,45496,Private Sector,98,Bioenergy,77766,yes,89,National,858863,23590,294
Reforestation Initiative in USA #109,Reforestation Initiative,USA,Sustainable Future Org,279,2010,2015,0.98,0.43,23234,Private Sector,82,Bioenergy,4675,yes,66,International,1886065,11928,138
Climate Education Program in UK #110,Climate Education Program,UK,Zero Emissions Initiative,645,2014,2024,0.44,0.43,11060,International Aid,96,Geothermal,387728,yes,94,National,758151,17919,643
Green Infrastructure Development in Germany #111,Green Infrastructure Development,Germany,Global Renewable Group,155,2012,2024,0.5,0.26,50334,Private Sector,58,None,466540,yes,95,International,842197,1819,126
Waste Management Plan in Canada #112,Waste Management Plan,Canada,Clean Energy Foundation,878,2016,2024,0.61,0.68,66356,Private Sector,84,Geothermal,334711,no,84,National,534508,43213,218
Waste Management Plan in Japan #113,Waste Management Plan,Japan,Climate Action Network,405,2012,2019,0.42,0.62,73644,Government,73,Wind,205139,no,54,International,932392,29368,217
Waste Management Plan in Japan #114,Waste Management Plan,Japan,Green Earth Alliance,509,2021,2031,0.45,0.75,71559,Government,78,Solar,394058,yes,52,International,191319,11847,102
Climate Education Program in Australia #115,Climate Education Program,Australia,Global Renewable Group,1135,2014,2025,0.12,0.92,48443,Government,99,Geothermal,327847,yes,63,International,1920214,36210,208
Waste Management Plan in USA #116,Waste Management Plan,USA,Green Growth Initiative,901,2017,2028,0.17,0.12,90156,International Aid,78,Geothermal,300432,yes,57,International,576176,28866,885
Clean Transportation Initiative in Australia #117,Clean Transportation Initiative,Australia,Clean Energy Foundation,1347,2017,2030,0.27,0.39,34599,International Aid,69,Bioenergy,379502,yes,53,National,1718080,15705,912
Waste Management Plan in France #118,Waste Management Plan,France,Sustainable Future Org,1959,2021,2030,0.7,0.07,73689,International Aid,97,Geothermal,438281,yes,57,National,348462,30943,557
Green Infrastructure Development in Germany #119,Green Infrastructure Development,Germany,Eco Warriors,1451,2014,2024,0.1,0.76,93028,Private Sector,92,Bioenergy,134922,no,90,International,153505,11237,921
Energy Efficiency Campaign in UK #120,Energy Efficiency Campaign,UK,Clean Energy Foundation,539,2025,2040,0.93,0.95,58838,International Aid,99,Hydropower,431336,yes,64,International,500366,14275,90
Reforestation Initiative in Brazil #121,Reforestation Initiative,Brazil,Green Growth Initiative,645,2022,2035,0.8,0.37,53123,Government,52,Solar,485027,yes,73,National,727137,18426,889
Waste Management Plan in Brazil #122,Waste Management Plan,Brazil,Sustainable Future Org,679,2019,2033,0.35,0.97,1207,Government,76,Hydropower,210607,no,75,International,398359,31042,191
Renewable Energy Project in Australia #123,Renewable Energy Project,Australia,Zero Emissions Initiative,1083,2011,2019,0.51,0.7,77891,International Aid,68,Solar,499343,no,83,International,1355448,6442,276
Green Infrastructure Development in Germany #124,Green Infrastructure Development,Germany,Eco Innovation Lab,421,2024,2033,0.32,0.7,9405,International Aid,50,Hydropower,289984,no,90,National,1421532,14174,452
Clean Transportation Initiative in USA #125,Clean Transportation Initiative,USA,Eco Innovation Lab,1887,2010,2020,0.99,0.78,64231,International Aid,52,Solar,91931,no,59,National,1977624,39289,884
Climate Education Program in Germany #126,Climate Education Program,Germany,Eco Warriors,1659,2018,2024,0.83,0.25,7154,Government,86,Solar,255488,yes,85,National,1410551,44213,251
Clean Transportation Initiative in Australia #127,Clean Transportation Initiative,Australia,Global Renewable Group,1428,2024,2036,0.27,0.41,72457,Private Sector,55,Hydropower,81066,yes,75,International,867147,34554,172
Renewable Energy Project in UK #128,Renewable Energy Project,UK,Green Growth Initiative,671,2018,2025,0.7,0.39,81222,Private Sector,77,Wind,428719,yes,100,National,1781186,899,973
Clean Transportation Initiative in UK #129,Clean Transportation Initiative,UK,Earth Guardians,236,2025,2037,0.96,0.68,79269,International Aid,94,None,401797,yes,63,National,1667238,16297,299
Clean Transportation Initiative in UK #130,Clean Transportation Initiative,UK,Earth Guardians,1806,2016,2028,0.63,0.34,59014,Government,60,Geothermal,116511,yes,79,National,486106,49445,467
Energy Efficiency Campaign in Japan #131,Energy Efficiency Campaign,Japan,Green Growth Initiative,318,2023,2031,0.52,0.65,49789,Government,58,Solar,383947,yes,53,National,1091248,49258,555
Energy Efficiency Campaign in UK #132,Energy Efficiency Campaign,UK,Climate Action Network,731,2025,2039,0.23,0.69,78496,Government,88,Geothermal,231960,no,98,National,668280,27366,957
Green Infrastructure Development in India #133,Green Infrastructure Development,India,Earth Guardians,1817,2018,2028,0.85,0.63,74198,Private Sector,83,Bioenergy,443249,yes,77,National,74191,25643,222
Emission Control Program in UK #134,Emission Control Program,UK,Green Earth Alliance,1368,2024,2033,0.56,0.76,85608,International Aid,65,Wind,112997,yes,50,National,1277953,48826,803
Climate Education Program in Germany #135,Climate Education Program,Germany,Clean Energy Foundation,1458,2023,2038,0.84,0.16,96776,Private Sector,77,Wind,212552,no,73,National,999750,2864,378
Waste Management Plan in China #136,Waste Management Plan,China,Green Growth Initiative,479,2016,2030,0.76,0.05,39922,Government,76,Bioenergy,90917,yes,81,International,1843140,20012,405
Green Infrastructure Development in Canada #137,Green Infrastructure Development,Canada,Clean Energy Foundation,1998,2014,2024,0.06,0.57,68164,Private Sector,52,Bioenergy,387521,yes,64,National,39109,39154,272
Green Infrastructure Development in France #138,Green Infrastructure Development,France,Zero Emissions Initiative,230,2022,2033,0.9,0.44,61814,Government,59,Bioenergy,176900,no,67,National,915747,8395,786
Water Conservation Project in Australia #139,Water Conservation Project,Australia,Eco Innovation Lab,1809,2015,2023,0.29,0.93,61386,Private Sector,80,Solar,13951,no,55,National,887728,47391,263
Energy Efficiency Campaign in France #140,Energy Efficiency Campaign,France,Sustainable Future Org,814,2022,2037,0.85,0.67,46625,International Aid,92,None,345510,yes,82,National,1233877,17275,530
Renewable Energy Project in Australia #141,Renewable Energy Project,Australia,Eco Innovation Lab,1886,2020,2028,0.2,0.4,26246,Government,99,Bioenergy,241425,no,60,International,697377,36988,963
Waste Management Plan in France #142,Waste Management Plan,France,Eco Warriors,1075,2017,2027,0.65,0.79,45468,Private Sector,57,Hydropower,287083,no,58,International,750430,15762,536
Water Conservation Project in Australia #143,Water Conservation Project,Australia,Eco Innovation Lab,120,2012,2018,0.42,0.1,13031,Private Sector,50,Wind,304806,yes,92,National,1548201,2027,74
Clean Transportation Initiative in UK #144,Clean Transportation Initiative,UK,Global Renewable Group,477,2017,2029,0.98,0.83,26156,International Aid,54,Geothermal,48193,yes,75,International,1574773,2985,276
Sustainable Agriculture Program in UK #145,Sustainable Agriculture Program,UK,Green Earth Alliance,96,2021,2030,0.31,0.73,59924,Private Sector,56,None,313542,yes,72,National,294430,5909,589
Energy Efficiency Campaign in Germany #146,Energy Efficiency Campaign,Germany,Green Earth Alliance,612,2013,2019,0.64,0.27,67390,International Aid,91,Wind,385664,no,54,National,1871950,17374,946
Climate Education Program in UK #147,Climate Education Program,UK,Green Earth Alliance,901,2014,2025,0.27,0.53,34355,Government,62,Hydropower,272665,no,67,International,145336,38749,79
Water Conservation Project in France #148,Water Conservation Project,France,Green Earth Alliance,1992,2024,2032,0.61,0.37,23826,International Aid,90,Wind,220583,yes,92,National,120562,2520,433
Energy Efficiency Campaign in Japan #149,Energy Efficiency Campaign,Japan,Earth Guardians,1914,2023,2035,0.28,0.71,81814,Private Sector,77,Solar,346896,yes,72,National,409563,39998,268
Sustainable Agriculture Program in UK #150,Sustainable Agriculture Program,UK,Eco Warriors,323,2018,2025,0.83,0.74,13979,Government,95,Wind,309974,no,90,National,226200,36840,445
Clean Transportation Initiative in Brazil #151,Clean Transportation Initiative,Brazil,Green Earth Alliance,93,2011,2024,0.78,0.95,56422,International Aid,80,Bioenergy,228328,yes,79,International,449617,9524,655
Climate Education Program in Canada #152,Climate Education Program,Canada,Green Earth Alliance,269,2018,2025,0.84,0.64,47889,Private Sector,98,Bioenergy,144157,no,90,International,783105,22761,396
Reforestation Initiative in Australia #153,Reforestation Initiative,Australia,Green Earth Alliance,319,2010,2017,0.13,0.48,32838,Government,74,None,130978,yes,67,International,382511,21663,937
Renewable Energy Project in Australia #154,Renewable Energy Project,Australia,Sustainable Future Org,1441,2011,2019,0.39,0.43,84099,Private Sector,84,Solar,83525,yes,66,National,1196546,24080,640
